Site,Habitat,PlSpecies,CP,FU
Penhale_Sands,sand_dune,Ammophila_arenaria,1,1
Penhale_Sands,sand_dune,Ammophila_sp.,1,1
Penhale_Sands,sand_dune,Anacamptis_pyramidalis,0.5,1
Penhale_Sands,sand_dune,Anagallis_arvensis,1,1
Penhale_Sands,sand_dune,Anthyllis_vulneraria,4.33333333333333,3.33333333333333
Penhale_Sands,sand_dune,Armeria_maritima,2,0
Penhale_Sands,sand_dune,Bellis_perennis,0.5,3.75
Penhale_Sands,sand_dune,Blackstonia_perfoliata,0,0
Penhale_Sands,sand_dune,Brassica_sp.,3,0
Penhale_Sands,sand_dune,Calystegia_soldanella,3.42857142857143,0
Penhale_Sands,sand_dune,Centaurium_erythraea,1,0
Penhale_Sands,sand_dune,Cerastium_fontanum,7.66666666666667,22
Penhale_Sands,sand_dune,Cirsium_arvense,0.666666666666667,0
Penhale_Sands,sand_dune,Cirsium_vulgare,1,1
Penhale_Sands,sand_dune,Crataegus_monogyna,36,0
Penhale_Sands,sand_dune,Crepis_vesicaria,4.66666666666667,0.333333333333333
Penhale_Sands,sand_dune,Daucus_carota,4.76,6.24
Penhale_Sands,sand_dune,Erodium_cicutarium,1.33333333333333,0.666666666666667
Penhale_Sands,sand_dune,Euphorbia_paralias,0.4,9.2
Penhale_Sands,sand_dune,Euphrasia_nemorosa,2,47
Penhale_Sands,sand_dune,Euphrasia_sp.,2.33333333333333,4.66666666666667
Penhale_Sands,sand_dune,Galium_mollugo,0.5,0
Penhale_Sands,sand_dune,Galium_verum,2.76086956521739,1.51063829787234
Penhale_Sands,sand_dune,Geranium_molle,1,1.33333333333333
Penhale_Sands,sand_dune,Geranium_pusillum,0.333333333333333,0
Penhale_Sands,sand_dune,Geranium_robertianum,1.33333333333333,0
Penhale_Sands,sand_dune,Glechoma_hederacea,1,0.6
Penhale_Sands,sand_dune,Grass,12.8974358974359,0
Penhale_Sands,sand_dune,Grass_1,1,1
Penhale_Sands,sand_dune,Grass_21,1,1
Penhale_Sands,sand_dune,Grass_3,1,1
Penhale_Sands,sand_dune,Hedera_helix,21.4736842105263,0
Penhale_Sands,sand_dune,Heracleum_sphondylium,2.8,0
Penhale_Sands,sand_dune,Holcus_lanatus,1,1
Penhale_Sands,sand_dune,Hypochaeris_radicata,2.61538461538462,0.615384615384615
Penhale_Sands,sand_dune,Iris_foetidissima,1,0
Penhale_Sands,sand_dune,Jasione_montana,1,2
Penhale_Sands,sand_dune,Knautia_arvensis,1,0
Penhale_Sands,sand_dune,Leontodon_hispidus,1.6,0
Penhale_Sands,sand_dune,Leontodon_saxatilis,1,0
Penhale_Sands,sand_dune,Limonium_vulgare,4,0
Penhale_Sands,sand_dune,Linum_catharticum,3,2.5
Penhale_Sands,sand_dune,Lotus_corniculatus,3.53333333333333,1.66666666666667
Penhale_Sands,sand_dune,Lotus_subbiflorus,4.25,3.5
Penhale_Sands,sand_dune,Medicago_lupulina,0,0
Penhale_Sands,sand_dune,moss,1,1
Penhale_Sands,sand_dune,Myosotis_ramosissima,2,2
Penhale_Sands,sand_dune,Ononis_repens,6.33333333333333,0.25
Penhale_Sands,sand_dune,Pilosella_officinarum,1.91666666666667,0.583333333333333
Penhale_Sands,sand_dune,Plantago_lanceolata,3.33333333333333,0.111111111111111
Penhale_Sands,sand_dune,Plantago_major,1,1
Penhale_Sands,sand_dune,Polygala_serpyllifolia,1,3.5
Penhale_Sands,sand_dune,Polygala_vulgaris,1,0
Penhale_Sands,sand_dune,Potentilla_neumanniana,1.66666666666667,0
Penhale_Sands,sand_dune,Potentilla_reptans,1.5,0
Penhale_Sands,sand_dune,Primula_veris,1,0
Penhale_Sands,sand_dune,Prunus_spinosa,3.5,0
Penhale_Sands,sand_dune,Ranunculus_bulbosus,1,1
Penhale_Sands,sand_dune,Ranunculus_repens,0,0
Penhale_Sands,sand_dune,Rubus_fruiticosus,11.75,0
Penhale_Sands,sand_dune,Rubus_fruticosus,0,0
Penhale_Sands,sand_dune,Rubus_fruticosus_agg.,1,1
Penhale_Sands,sand_dune,Rumex_acetosa,1,0
Penhale_Sands,sand_dune,Sedum_acre,1,0
Penhale_Sands,sand_dune,Senecio_jacobaea,0.5,0
Penhale_Sands,sand_dune,Sonchus_oleraceus,0.5,0
Penhale_Sands,sand_dune,Taraxacum_agg.,2.59259259259259,0.148148148148148
Penhale_Sands,sand_dune,Thymus_polytrichus,16.5555555555556,4.55555555555556
Penhale_Sands,sand_dune,Valerianella_locusta,3,45
Penhale_Sands,sand_dune,Veronica_chamaedrys,1,0
Penhale_Sands,sand_dune,Viola_canina,3,0
Penhale_Sands,sand_dune,Viola_riviniana,1.125,0.125
Penhale_Sands,sand_dune,Viola_sp.,1,0
