Site,M_D_T,sc
Arne,triad,0.7576
Bodmin_Moor,dyad,0.6755
Braunton_Burrows,dyad,0.8361
Burnham-on-Sea,monad,0.8892
Bystock,triad,0.7808
Chagford_Common,dyad,0.7269
Cloud_Hill,dyad,0.7804
Dartmoor_Scrub,monad,0.8038
Dolebury_Warren,triad,0.815
Dunkery_Hill,monad,0.8226
Forest_of_Dean,monad,0.8112
Haddon_Hill,triad,0.6891
Hangman_Hill,triad,0.7055
Haytor,dyad,0.6471
Hells_Mouth,monad,0.8033
Leigh_Woods,monad,0.9245
Lytchett_Bay,triad,0.6706
Merthyr_Mawr,triad,0.7998
North_Hill,dyad,0.7601
Oxwich_Bay,triad,0.7771
Pembrey,dyad,0.6357
Penhale_Sands,monad,0.7924
Pewsey_Downs,monad,0.7938
Seet_Bridge,dyad,0.8174
Studland,dyad,0.7318
Walborough,dyad,0.7919
Wheal_Coates,monad,0.8365
Woodland_Hill,triad,0.7166
Woolacombe,triad,0.7601
Wyeswood_Common,monad,0.8208
