Type,Habitat,Site,Latitude,Longitude,OS_natgrid_ref
Monad 1,SD,Penhale Sands,50°21'57.03 N,5°8'51.01 W,SW 76254 56508
Monad 2,SM,Burnham-on-sea,51°13'23.34 N,3°0'3.57 W,ST 30193 47582
Monad 3,HL,Dunkery,51°10'2.03 N,3°34'16.95 W,SS 90230 42061
Monad 4,HL,Wheal Coates,50°18'8.98 N,5°13'58.27 W,SW 69879 49727
Monad 5,S,Hudder Down,50°14'18.10 N,5°21'24.01 W,SW 60742 42989
Monad 6,S,Dartmoor,50°36'9.94 N,3°44'9.91 W,SX 77238 79554
Monad 7,GL,Pewsey Downs,51°22'12.54 N,1°50'32.29 W,SU 11074 63466
Monad 8,GL,Wyeswood Common,51°46'46.31 N,2°41'28.36 W,ST 51980 63681
Monad 9,WL,Forest of Dean,51°48'45.57 N,2°33'10.79 W,ST 61601 63599
Monad 10,WL,Leigh Woods,51°27'42.77 N,2°38'12.56 W,SO 56191 12444
Dyad 1,SD_GL,Braunton Burrows,51°5'25.68 N,4°12'17.30 W,SS 45690 34663
Dyad 2,SM_GL,Walborough,51°19'4.91 N,2°59'8.69 W,ST 31399 58119
Dyad 3,SD_HL,Studland,50°40'28.61 N,1°56'50.10 W,SZ 03823 86106
Dyad 4,SD_SM,Pembry Beach,51°40'21.03 N,4°16'20.19 W,SS 42972 99527
Dyad 5,SM_WL,Seet Bridge,50°14'29.27 N,4°57'56.87 W,SW 88623 42150
Dyad 6,GL_S,Dartmoor/Blackhill Common,50°35'33.62 N,3°45'15.46 W,SX 75923 78463
Dyad 7,WL_S,Bodmin Moor,50°32'25.41 N,4°41'25.38 W,SX 09462 74637
Dyad 8,HL_S,North Hill,51°13'11.14 N,3°32'9.10 W,SS 92835 47850
Dyad 9,WL_HL,Manor Allotment/Cloud Hill,51°12'4.17 N,3°43'44.80 W,SS 79291 46081
Dyad 10,GL_HL,Dartmoor/Chagford Common,50°37'30.82 N,3°51'26.36 W,SX 68722 82260
Triad 1,SM_WL_S,Lychett Bay,50°43'46.89 N,2°1'58.95 W,SY 97764 92230
Triad 2,SD_GL_S,Woolacombe,51°9'46.91 N,4°12'27.04 W,SS 45743 42737
Traid 3,SD_GL_S,Oxwich Bay,51°33'37.95 N,4°9'41.70 W,SS 50257 86843
Triad 4,SM_HL_WL,Arne,50°41'32.77 N,2°1'43.02 W,SY 98074 88087
Triad 5,SD_SM_GL,Merthyr Mawr,51°28'20.20 N,3°38'21.78 W,SS 86233 76087
Triad 6,WL_HL_S,WL Hill,51°9'18.27 N,3°12'34.34 W,ST 15505 40231
Triad 7,HL_GL_S,Hangman Hill,51°12'48.51 N,3°58'57.27 W,SS 61446 41404
Triad 8,WL_GL_S,Dolbury Warren,51°19'29.37 N,2°46'38.81 W,ST 45724 39823
Triad 9,WL_GL_HL,Bystock,50°39'16.12 N,3°22'15.55 W,SY 03180 84763
Triad 10,WL_HL_S,Haddon Hill,51°2'49.13 N,3°28'1.46 W,SS 97255 28538
